,TimeStep,GHI,T,Wind,Load
3,3,0.0,4.723809523809523,6.385714285714284,363.9107075857143
3,4,0.0,4.71904761904762,6.276190476190478,367.68370168095237
3,5,1.1428571428571401,4.5,6.452380952380953,374.70034636190474
3,6,3.285714285714283,4.390476190476189,6.42857142857143,393.74314994761903
3,7,28.7142857142857,4.476190476190476,6.619047619047619,416.0169174
3,8,73.0,4.8380952380952404,7.238095238095237,435.07853236666665
3,9,128.04761904761907,5.2285714285714295,6.809523809523809,448.85983674761906
3,10,159.85714285714283,5.638095238095239,7.0,461.35409277619044
3,11,180.95238095238093,5.995238095238095,7.61904761904762,471.24537879523814
3,12,176.0,6.080952380952381,7.0476190476190474,473.6381425714286
3,13,146.66666666666669,6.204761904761904,7.428571428571429,466.82820431428576
3,14,99.90476190476188,6.338095238095237,6.857142857142857,459.70853451904765
3,15,47.190476190476225,6.357142857142856,6.761904761904762,452.1881385523809
3,16,12.619047619047603,6.2857142857142865,6.333333333333332,449.8078428047619
3,17,2.8571428571428417,6.161904761904763,6.076190476190476,460.0084229047619
3,18,0.8095238095238156,6.076190476190478,5.985714285714286,470.17619246666663
3,19,-3.664603343001005e-16,6.0285714285714285,6.128571428571428,470.57363755238094
3,20,0.0,5.933333333333334,6.085714285714287,449.8649331619048
3,21,0.0,5.814285714285713,5.476190476190476,435.3561095952381
3,22,0.0,5.761904761904763,5.638095238095238,423.1508051047619
3,23,0.0,5.61904761904762,5.223809523809524,398.6065478619048
4,0,0.0,0.23965517241379075,4.151724137931035,428.14157204655174
4,1,0.0,0.10689655172413737,4.251724137931035,415.7586682241379
4,2,0.0,0.008620689655170821,4.16896551724138,411.1024670379311
4,3,0.0,-0.06206896551724128,4.260344827586207,413.15685979827583
4,4,0.0,-0.1879310344827605,4.406896551724138,419.7403411655173
4,5,1.465841337200402e-14,-0.2844827586206904,4.258620689655173,438.3862917603449
4,6,3.6551724137931516,-0.31206896551724306,4.224137931034484,489.94046225
4,7,17.20689655172417,-0.2689655172413765,4.36206896551724,531.7334952155172
4,8,57.741379310344854,-0.01724137931034697,4.362068965517242,548.9125428603448
4,9,111.17241379310347,0.3948275862068922,4.6034482758620685,552.6864797844828
4,10,173.89655172413796,0.9293103448275861,4.775862068965518,559.9257195206897
4,11,201.74137931034483,1.4431034482758616,5.086206896551724,567.3336507034483
4,12,208.63793103448273,1.8499999999999996,4.862068965517241,566.7656435775862
4,13,195.82758620689654,2.129310344827582,5.120689655172414,563.3574424362068
4,14,139.63793103448276,2.2741379310344794,4.706896551724139,554.8310789103448
4,15,78.24137931034484,2.1879310344827605,4.603448275862069,549.1572642793103
4,16,26.87931034482763,1.9120689655172445,4.639655172413794,543.0054905068965
4,17,4.22413793103444,1.4999999999999982,4.543103448275862,552.6406242051723
4,18,-2.0521778720805628e-14,1.1689655172413786,4.758620689655173,560.0494265844827
4,19,1.8323016715005025e-16,0.9120689655172409,4.603448275862069,552.5604759689654
4,20,0.0,0.7431034482758623,4.570689655172414,524.20901245
4,21,0.0,0.6396551724137947,4.4896551724137925,510.4280009241379
4,22,0.0,0.48620689655172455,4.651724137931035,489.35614035517244
4,23,0.0,0.387931034482758,4.522413793103449,458.6673615913793
5,0,0.0,11.539655172413791,1.8448275862068961,372.7474928206897
5,1,0.0,11.327586206896552,1.9637931034482758,362.1423435896552
5,2,0.0,11.148275862068964,1.9275862068965515,356.8717253310345
5,3,0.0,10.955172413793104,1.9655172413793105,357.2078687862069
5,4,2.5172413793103425,10.793103448275861,1.7689655172413792,366.1739111827586
5,5,33.43103448275862,10.755172413793108,2.155172413793103,385.81419104310345
5,6,112.27586206896552,11.120689655172413,2.0862068965517238,437.58544289482757
5,7,206.56896551724137,11.874137931034483,2.275862068965517,475.0280576482759
5,8,290.0,12.724137931034484,2.682758620689655,495.6251269827586
5,9,366.3965517241379,13.551724137931032,2.9482758620689653,503.35428474310345
5,10,436.03448275862064,14.499999999999996,3.293103448275862,514.0929615758621
5,11,485.55172413793105,15.187931034482755,3.1034482758620685,523.8204399931035
5,12,460.67241379310343,15.377586206896552,3.1206896551724137,522.7709890224138
5,13,430.6896551724138,15.812068965517245,3.2241379310344827,519.0174059534482
5,14,376.01724137931035,15.791379310344826,2.982758620689655,509.79156684482757
